block_count,blocked_start,blocked_removed,diff.seconds
1,2022-04-15 15:32:46.643775,2022-04-16 13:33:11.613328,79224
2,2022-04-16 13:53:17.136415,2022-04-17 00:23:27.107688,37809
3,2022-04-17 00:28:27.813496,2022-04-17 00:58:28.864892,1801
4,2022-04-17 01:13:33.242624,2022-04-17 11:13:55.758985,36022
