block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-04 16:44:39.075335,2022-03-04 17:14:39.793071,1800
2,2022-03-04 17:39:45.055387,2022-03-04 21:39:51.492501,14406
3,2022-03-04 21:59:55.530229,2022-03-04 22:59:56.676431,3601
4,2022-03-04 23:20:00.807176,2022-03-06 15:32:10.912638,58330
5,2022-03-06 15:37:11.296210,2022-03-06 17:37:12.015386,7200
