block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-06 18:30:54.296173,2022-03-07 20:14:23.762062,6209
2,2022-03-07 20:39:29.802437,2022-03-08 14:09:42.327210,63012
3,2022-03-08 14:24:46.362535,2022-03-09 00:24:57.797058,36011
4,2022-03-09 00:40:01.648235,2022-03-09 13:40:31.650371,46830
5,2022-03-09 14:05:38.246079,2022-03-10 06:17:39.480646,58321
6,2022-03-10 06:32:43.899893,2022-03-10 07:02:44.978545,1801
7,2022-03-10 07:07:46.298522,2022-03-11 18:41:29.430380,41623
