block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-04 13:08:53.225204,2022-03-04 15:08:54.476205,7201
2,2022-03-04 15:28:57.824135,2022-03-04 18:59:00.275871,12602
3,2022-03-04 19:14:02.596399,2022-03-05 01:14:06.679995,21604
4,2022-03-05 01:29:09.993794,2022-03-05 12:29:15.663640,39605
5,2022-03-05 12:44:29.355674,2022-03-05 14:14:30.803346,5401
6,2022-03-05 14:19:31.898006,2022-03-05 18:19:34.574779,14402
7,2022-03-05 18:24:34.951031,2022-03-06 10:43:54.698184,58759
8,2022-03-06 10:48:55.248992,2022-03-06 13:18:57.427919,9002
