block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-08 22:01:58.952341,2022-03-09 11:32:38.402246,48639
2,2022-03-09 12:06:59.442919,2022-03-09 12:36:59.971514,1800
3,2022-03-09 12:57:20.305556,2022-03-09 18:52:43.551755,21323
4,2022-03-09 19:12:47.687847,2022-03-10 00:42:50.300818,19802
5,2022-03-10 01:02:38.785771,2022-03-10 10:26:34.996633,33836
6,2022-03-10 10:31:35.448340,2022-03-10 12:31:47.453374,7212
7,2022-03-10 13:21:51.449220,2022-03-11 06:29:57.554378,61686
