"i.instagram.com","api URL",
"videos-d-9.ak.instagram.com","media CDN",
"videos-e-15.ak.instagram.com","media CDN",
"videos-e-19.ak.instagram.com","media CDN",
"videos-e-5.ak.instagram.com","media CDN",
"videos-e-9.ak.instagram.com","media CDN",
"videos-f-11.ak.instagram.com","media CDN",
"videos-f-15.ak.instagram.com","media CDN",
"videos-f-19.ak.instagram.com","media CDN",
"videos-f-5.ak.instagram.com","media CDN",
"videos-f-9.ak.instagram.com","media CDN",
"videos-g-11.ak.instagram.com","media CDN",
"videos-g-15.ak.instagram.com","media CDN",
"videos-g-19.ak.instagram.com","media CDN",
"videos-g-5.ak.instagram.com","media CDN",
"videos-g-9.ak.instagram.com","media CDN",
"videos-h-11.ak.instagram.com","media CDN",
"videos-h-19.ak.instagram.com","media CDN",
"videos-h-5.ak.instagram.com","media CDN",
"videos-h-9.ak.instagram.com","media CDN",
"about.instagram.com","official site",
"community.instagram.com","redirects to about.instagram - https://about.instagram.com/community",
"graph.instagram.com","Sorry, this content isn't available right now",
"badges.instagram.com",,
"platform.instagram.com","this is used when embedding insta images on other platforms – platform.instagram.com/en_US/embeds.js now redirects to https://www.instagram.com/static/bundles/es6/EmbedSDK.js/ab12745d93c5.js",
"preprod.instagram.com","https://preprod.instagram.com/p/BVHp8hVjoW9/ redirects to https://www.instagram.com/p/BVHp8hVjoW9/
",
